Title,Total Cook Time,Prep Time,Cook Time,Recipe Servings,Difficulty,Ingredients,Image Link
Eggless Coffee Cupcakes Recipe,1 hr  10 seconds,15 mins 10 seconds,45 mins,4.0,Medium,"Dry ingredients:, 1 cup Maida/ flour, 1 tsp Baking powder, 3/4 cup Sugar, powdered, 1 1/2 tbsp Cocoa powder, Wet ingredients:, 1/2 tsp Vanilla essence, 5 tbsp Butter (softened, salted. In case you are using unsalted butter, add 1/4 tsp salt), 3/4 cup Milk (to make the batter smooth. Adjust the milk quantity according to your batter's smoothness), 1 tbsp Coffee powder + 1 tsp water, to make a paste (You can increase or decrease according to your coffee tolerance)",https://c.ndtvimg.com/2018-09/ebccjptg_cupcake_625x300_28_September_18.jpg
Mud Chocolate Cupcake with Choco Ganache Frosting Recipe,1 hr 20 mins,20 mins,1 hr,2.0,Medium,"For the Cupcakes:, 4 ounces cake flour, 4 ounces super fine sugar, 8 ounces unsalted butter, 8 ounces dark semisweet chocolate, 4 large lightly beaten eggs, 1/2 tsp baking powder, 1 Tbsp rum (optional), For the Chocolate Ganache Icing:, 12 ounces semisweet dark chocolate, 3/4 cup heavy cream",https://www.ndtv.com/cooks/images/CP.jpg
Whole Wheat Date Cake Recipe,21 mins,20 mins,01 mins,6.0,Medium,"25 - 30 dates (khajur) - seedless, 2 cups milk, 3/4 cup sugar, 2 cups wheat flour, 1 tsp baking soda, 3/4 cup oil, 1 Tbsp cashew nuts (chopped), 1 Tbsp almonds (chopped)",https://c.ndtvimg.com/2019-12/fdihqme_christmas-cake_625x300_11_December_19.jpg
Apple Carrot Muffin Recipe,40 mins,10 mins,30 mins,6.0,Easy,"1 cup apple, peeled and grated, 1 cup flour, 1/2 cup oatmeal, 1 tsp baking soda, 1/2 tsp baking powder, 1 tsp cinnamon powder, 3/4 cup brown sugar, 1 cup carrot, grated, 1/2 cup dry fruits, finely chopped, 1 Tbsp flax seed, 1 Tbsp raisins, 1 cup milk, 1 tsp vanilla essence, 1 egg, beaten well, 1 Tbsp oil",https://i.ndtvimg.com/i/2015-12/healthy-muffins-625_625x350_41450040917.jpg
Chocolate Jaffa Mousse Recipe,20 mins,10 mins,10 mins,4.0,Easy,"350 gm silken tofu, 55 gm dark chocolate squares, 1/3 cup unsweetened cocoa powder, 1 tsp vanilla extract, 2 Tbsp orange zest, 2/3 cup confectioner's sugar, 4 digestive biscuits",https://i.ndtvimg.com/i/2015-09/chocolate-mousse-625_625x350_81443596685.jpg
Turkish Jujubes Recipe,1 hr,1 hr,,,,"1 cup water, 2 cups sugar, 2.5 Tbsp gelatin, 1 cup cold water, 1 cup orange juice, 1 cup lemon juice, Food coloring as desired, An 8, Castor (powdered sugar) or coating or if you want granulated sugar",https://www.ndtv.com/cooks/images/jujubes_med.jpg
Plum Cake Recipe,1 hr 15 mins,15 mins,1 hr,6.0,Medium,"Oven temp: 150 C-300 F, 1 cup butter, 1 1/2 cup sugar, 6  Eggs, 125 gms almonds, chopped, 2 tsp vanilla essence, 2 1/2 cups mixed fruits (sultanas, raisins, candied peels and cherries), chopped, 2 cups refined flour, An 8 inch round cake tin, lined with a double layer of grease-proof or brown paper at the bottom and on the sides.",https://c.ndtvimg.com/2018-12/sn3d96c8_plum-cake_625x300_21_December_18.PNG
Simnel Cake Recipe,2 hrs 15 mins,15 mins,2 hrs,4.0,Medium,"250 gm butter, 250 gm grated jaggery, 2 tsp grated lemon rind, 50 gm almond powder, 4 eggs, 1 tsp cinnamon powder, 250 gm flour, 1/2 kg raisins, 250 gm black currants, 250 gm sultanas, 100 gm mixed chopped peel, 1-2 Tbsp milk, For the marzipan:, 375 gm almond powder, 200 gm icing sugar, 175 gm castor sugar, 1-2 eggs, 1/2 tsp vanilla essence, 2 tsp lemon juice",https://www.ndtv.com/cooks/images/simnel-cake_med.jpg
Apple and Date Pie Recipe,1 hr,1 hr,,,,"250 gm flour, 125 gm diced chilled butter, 2 egg yolks, 2-3 Tbsp water, For the Filling:, 750 gm apples - peeled, cored and diced, 1 tsp butter  grated rind, 2 limes, 5 gm chopped, seeded dates, 3-4 Tbsp sugar, For the Glaze:, 2 egg whites, beaten, 1 Tbsp castor sugar",https://www.ndtv.com/cooks/images/apple-and-date-pie_.jpg
Chocolate Cream Pudding Recipe,45 mins,45 mins,,,,"3 egg whites, 75 gm castor sugar, 2 egg yolks, 1 Tbsp cocoa, For Soaking:, 3 Tbsp sweetened black coffee, 1 Tbsp rum, For Chocolate Cream:, 450 ml milk, 6 egg yolks, 100 gm castor sugar, 50 gm flour, 150 gm chopped chocolate, 100 ml whipped cream, Cocoa and icing sugar to dredge",https://www.ndtv.com/cooks/images/chocolate-cream-pudding_med.jpg
Baked Ham Recipe,45 mins,05 mins,40 mins,4.0,Intermediate,"2 kg leg of smoked ham, 2 onions, 2 carrots, 2 celery sticks, 1 bottle beer, 4 quartered apples, 2 tsp peppercorns, 1 bay leaf, For the Glaze:, 4 Tbsp honey, 100 gm grated jaggery, 1 tsp English mustard, Malt vinegar, 2 tsp sugared ginger, 2-3 chopped apricots, 8-10 cloves, Pineapple and Grape Salad:, 250 gm diced pineapple, 250 gm halved black grapes, 250 gm pomegranate kernels    freshly ground pepper, 2 Tbsp shredded herbs, 2 tsp sugar, Juice of 1 lemon",https://www.ndtv.com/cooks/images/baked-ham_med.jpg
Melting Chocolate Cake Recipe,25 mins,25 mins,4,,,"1/2 cup flour, 1 cup unsalted butter or white butter, 1 1/4 cup dark chocolate, 1 1/4 cup sugar, 6 eggs",https://www.ndtv.com/cooksnew/images/recipebig/Eastercake.jpg
Coriander and Spinach Chops Recipe,45 mins,10 mins,35 mins,,,"1 kg meat chops, 2 Tbsp ginger strips, 2 Tbsp lemon juice, 200 ml thick yogurt, 3 Tbsp raw papaya paste, 1 Tbsp ginger paste, 1 Tbsp garlic paste, 1 Tbsp fresh coriander paste, 1 tbsp green chilli paste, 3 Tbsp blanched spinach paste, 2 Tbsp oil, 2 tsp salt, For the raita:, 2 Tbsp chopped herbs, 2 tomatoes - seeded and diced, 1 boiled potato - peeled and diced, Pinch of sugar, 250 ml whipped yogurt, Salt to taste, For pickled cucumber:, 1 cucumber - peeled and finely sliced, 1 sliced onion, 1/2 capsicum - de-seeded and sliced, 1 Tbsp salt, 120 ml vinegar, 2 Tbsp sugar, 2 tsp mustard seeds, 1/2 tsp ginger powder",https://www.ndtv.com/cooksnew/images/recipebig/Corianspnch.jpg
Apple and Walnut Cake Recipe,20 mins,05 mins,15 mins,2.0,Easy,"3-4 large apples, 4 eggs, 2 cups sugar, 1 cup walnuts, 1 cup of oil, 2 cups flour, 4 tsp baking powder, 5 tsp cinnamon powder",https://c.ndtvimg.com/2021-05/ltj5eqn8_apple-pie_625x300_18_May_21.jpg
Spanakopita Recipe,1 hr 20 mins,20 mins,1 hr,2.0,Medium,"16  Filo/Phyllo sheets   (phyllo dough are paper-thin sheets of unleavened flour dough used for making pastries), 6-7 cups Spinach mixture, 1 cup Olive oil and salt pepper, For Spinach mixture:, 1 kg Spinach, 1  Onion, chopped, 1/2 cup Spring onions , chopped, 1/2 cup Dill, chopped, 1/2 cup Parsley , chopped, 1/2 cup Evaporated milk, 1 1/2 cup Feta cheese (crumbled), 5  Eggs, to taste Salt and pepper, 3/4 cup Soda water",https://c.ndtvimg.com/spanakopita_625x300_1530165514534.jpg
Christmas Dry Fruit Cake Recipe,4 hrs 30 mins,15 mins,4 hrs 15 mins,8.0,Medium,"2 Tbsp butter (at room temperature), 1 1/2 cups dark brown sugar, 4  Eggs, 3 cups flour, 1/4 tsp salt, 1 tsp all spice powder, 1 tsp cinnamon, 1/2 tsp nutmeg, 1 1/2 cups currants; golden raisins; dark raisins (each), 1 1/2 cups soft dried figs, chopped, 1 1/2 cups dates (pitted), chopped, 1 cup prunes (stoned dried), chopped, 1 3/4 cups apricots (dried), chopped, 3/4 cup almonds (chopped), blanched, 10 tbsp brandy, 2 tsp instant espresso (mixed with 1 Tbsp water)",https://i.ndtvimg.com/i/2016-12/christmas-cake-620x350_620x350_71482307678.jpg
Coconut and Litchi Creme Caramel Recipe,50 mins,10 mins,40 mins,2.0,Medium,"400 Ml coconut milk, 100  gms  sugar, 6  eggs, 100 gms  lychees, 150 gms sugar for caramel, A pinch of nutmeg, 1 cup  water",https://c.ndtvimg.com/2018-10/ji6m285g_custrd_625x300_10_October_18.jpg
Apple Pie with Raisin Relish Recipe,1 hr 25 mins,10 mins,1 hr 15 mins,4.0,Medium,"For apple pie filling:, 100 gm butter, 4 medium apple, 1/3 tsp cinnamon, 15 -20 gm sugar, For pie cover:, 100 gm flour, 100 gm icing sugar, 100 gm butter, 50 ml water, For raisin chutney:, 1 Tbsp whole mix spices, 100 gm raisin, 30 gm sugar, 20 ml lemon Juice, 20 ml orange Juice",https://i.ndtvimg.com/i/2017-11/applepie-with-raisin_620x330_51510136758.jpg
Praline Recipe,40 mins,10 mins,30 mins,2.0,Easy,"2 1/2 cups granulated sugar, 1 cup cream, 1 Tbsp butter, 2 cups walnut/almonds - broken into 2-3 pieces",https://www.ndtv.com/cooks/images/praline_med.jpg
Chocolate Tarts Recipe,1 hr 15 mins,15 mins,1 hr,12.0,Intermediate,"2 cups flour (maida), 1 tsp salt, 1 tsp sugar-powdered, 1 tsp baking powder, 3/4 cup butter or ghee, 1 tsp vinegar, 1 egg-slightly beaten, 1/4 cup milk, Cold water-as required, For the filling:, 240 gm cooking chocolate (or semi sweet chocolate)-chopped fine, 60 gm butter, 4 eggs-separated, 3 cups sugar",https://www.ndtv.com/cooks/images/chocolate-tart_620.jpg
Marzipan Recipe,1 hr 10 mins,10 mins,1 hr,2.0,Intermediate,"1.5 cup almonds-blanched and peeled, 1/4 cup sugar, 1/2 cup water, Rosewater or orange juice as needed, 1 egg white, 1 1/2 cup icing (confectioners sugar)",https://www.ndtv.com/cooks/images/marzipan_medium.jpeg
Hot Cross Buns Recipe,2 hrs 15 mins,15 mins,2 hrs,6.0,Intermediate,"450 gm flour, 1 1/2 tsp cinnamon powder, 1 tsp salt, A pinch of grated nutmeg, 25 gm yeast, 50 gm sugar, 2 eggs, 75 gm raisins, 75 gm chopped candied peel, Beaten egg to glaze",https://www.ndtv.com/cooks/images/hot-cross-buns_medium.jpg
Microwave Chicken Steak Recipe,30 mins,15 mins,15 mins,4.0,Easy,"4 Large Chicken breasts (boneless), 2  Eggs (slightly whisked), 1/2 tsp Ginger paste, 1/2 tsp Garlic paste, 1 Cup Onions, finely chopped, 2 Tbsp Coriander leaves, chopped, 2  Green chillies, finely chopped, 1 Tbsp Black pepper powder, Enough to make a thick coating  Flour, 1 Tbsp Vinegar, To taste Salt, As required  Oil",https://www.ndtv.com/cooks/images/microwave-chicken-steak_med.jpg
Cheese and Ham Roll Recipe,25 mins,10 mins,15 mins,6.0,Easy,"100 Gram Hung Curd, 2 Tbsp Butter, 2 Tbsp Cream, 3 Tbsp Ground Pimento, 1 Tbsp Lemon Juice, 1 Tbsp Vodka, Salt and Pepper, 6  Asparagus Spears(cooked), 6  Ham, sliced, 2   Pineapple Slices",https://www.ndtv.com/cooks/images/ham.rolls.1.jpg
Seviyon Ka Muzaffar Recipe,25 mins,10 mins,15 mins,2.0,Easy,"150 gms sewaiyan, 100 gms khoya, 50 gms sugar, 5 gms cardamom powder, 150 gms milk, 250 gms pure ghee, 25 gms almonds, 100 gms water, 20 gms khajur, 25 gms pista, 25 gms cashew nuts, 25 gms jaggery",https://c.ndtvimg.com/2024-04/dahq078g_seviyan_625x300_10_April_24.jpg
Mango Shahi Tukda Recipe,25 mins,10 mins,15 mins,2.0,Easy,"2  Bread Pieces, 1 tsp Sugar, 1/2 cup Mango Puree, Dry Fruits",https://c.ndtvimg.com/2022-04/k0560ac8_shahi-tukda_625x300_28_April_22.jpg
Whole Wheat Mutton Khichda Recipe,45 mins,20 mins,25 mins,3.0,Easy,"500 gms Mutton Curry Cut Frozen, 50 gram Whole wheat and daliya, 1 cup Yogurt for marination, 1 large Onion, 1 large Tomato (peeled and chopped), 1 tbsp Refined oil and ghee, 3-4  Cloves, 1  Bay Leaf, 1 stick  Cinnamon, 1  Star Anise, 1  Black Cardamom, Black pepper whole, Saunf, 1 tsp Jeera powder, 1 tsp Dhaniya powder, 1 tsp Turmeric, 1 tsp Roasted kasuri methi, 1 tsp Degi mirch, Salt as per taste",https://c.ndtvimg.com/2022-04/05h8aov8_mutton-khichda_625x300_27_April_22.jpg
Khoya Kulfi Recipe,30 mins,15 mins,15 mins,2.0,Easy,"1 Litre Milk, 1 cup Khoya, 1/2 cup Sugar, 1 tsp Green Cardamom, 2 tbsp Almonds Or Pistachios (Chopped)",https://c.ndtvimg.com/2022-03/bt1hei5o_kulfi_625x300_14_March_22.jpg
Saffron Rose Phirni Recipe,25 mins,10 mins,15 mins,2.0,Easy,"2 Tbsp Basmati Rice, Water for soaking, 1 litre Milk (Full Cream), 1/4 cup Sugar, 1/4 tsp Cardamom powder, 2 tsp Saffron milk, Few dry fruits, chopped, 15  Dry Rose Petals",https://c.ndtvimg.com/2022-02/1pkatjno_phirni_625x300_02_February_22.jpg
Lamb And Almond Korma Recipe,1 hr 45 mins,10 mins,1 hr 35 mins,4.0,Medium,"1 Kg lamb shoulder cuts, 1 cup onion, 3 tbsp ginger-garlic paste, 2 cup yogurt, 1 cup almonds (skin removed), blanched, 1  Cinnamon stick, 2  Black cardamom, 3  Green cardamom, 1 tsp cumin powder, 1 tsp coriander powder, 1 tsp turmeric powder, 2 tsp red chilli powder, to taste salt, 4 tbsp ghee, 3 cups water",https://c.ndtvimg.com/2020-07/5dj0tm9g_lamb-korma_625x300_29_July_20.jpg
Almond And Rose Kheer Recipe,1 hr,20 mins,40 mins,4.0,Easy,"2 Litre full fat milk, 120 gms rice, 40 gms grain sugar, 3-4  Rose water drops, 10 gms dried rose petals, 100 gms almonds, 25 gms almond slivers",https://c.ndtvimg.com/2020-07/t8lvghl_kheer_625x300_29_July_20.jpg
Murgh Kali Mirch Ka Tikka Recipe,1 hr 50 mins,1 hr 15 mins,35 mins,10.0,Medium,"For marinade:, 2 kg chicken tikka, 150 gms hung curd, 15 gms red chilli powder, 15 gms black pepper whole, 150 gms processed cheese, 25 gms green cardamom powder, 50 gms cornflour, 50 gms kebab masala, 100 ml cream, to taste salt, For sauce:, 100 ml cream, 50 gms coriander, chopped, 25 gms green chillies, chopped, for garnishing silver leaf",https://c.ndtvimg.com/2020-05/ffmiuhg_chicken-tikka_625x300_13_May_20.jpg
Kesar Pista Phirni Recipe,2 hrs 45 mins,2 hrs,45 mins,4.0,Easy,"A few saffron threads, 10-12  pistachios (peeled and sliced), blanched, 1 litre skimmed milk, 3 tbsp coarsely ground rice, 3/4 tbsp green cardamom powder, 3 tbsp low-calorie sweetener",https://c.ndtvimg.com/2020-05/38bn7ia_phirni_625x300_11_May_20.jpg
Murgh Malai Tikka With Mint Chutney Recipe,1 hr 55 mins,1 hr 30 mins,25 mins,2.0,Medium,"150 gms chicken breast, 25 gms ginger and garlic paste, 10 gms chilli, 10 gms coriander, 100 ml cream, 10 gms mint, 5  Lemons, 1 tbsp chaat masala, 1 gms sugar, 1  Raw mango, 1 ml ghee, to taste salt, 10 ml oil, 25 gms bhel",https://c.ndtvimg.com/2020-05/728q1948_tikka_625x300_11_May_20.jpg
Khoya Khurchan Paratha Recipe,1 hr 25 mins,1 hr 15 mins,10 mins,2.0,Easy,"200 gms khoya, 1/4 gram saffron strands, 5 ml kewda water, 50 gms granulated sugar, 10 gms cardamom powder, 400 gms whole wheat flour, 3 tbsp ghee, A pinch of salt, Water (as required)",https://c.ndtvimg.com/2020-05/pea3li6_paratha_625x300_08_May_20.jpg
Chicken Gilafi Kebab Recipe,30 mins,10 mins,20 mins,2.0,Easy,"300 gms chicken mince, 50 gms onion, chopped, 50 gms tomatoes, chopped, 50 gms green capsicum, chopped, 30 gms coriander leaves, chopped, 20 gms green chilli, chopped, 5 gms salt, 20 ml oil, 20 gms cashew, 20 gms almonds, peeled, 10 gms mint, chopped, 5 gms red chilli powder, 5 gms masala powder, 5 gms ginger garlic paste, 3 gms cumin powder, 10 ml lemon juice, 10 ml fresh cream, 5 ml kewra water",https://c.ndtvimg.com/2020-07/7tq5slvo_gilafi-kebab_625x300_20_July_20.jpg
Kimami Sewaiyan Recipe,50 mins,10 mins,40 mins,2.0,Easy,"1 Cup semiya, 1 cup khoya, 1 cup sugar, 1 cup milk, 1-1/2 cup water, ghee (as needed), 1 tsp cardarmom powder, 1 cup phool makhana (lotus seeds), chopped, 1/4 cup almonds (slivered, for garnishing), 1 tbsp whole cashews ((slivered, for garnishing), 1 tbsp raisins (for garnish), 2 tbsp dry coconut (kopra)",https://c.ndtvimg.com/2020-04/a2q63bd_sewaiya_625x300_24_April_20.jpg
Awadhi Gosht Korma Recipe,2 hrs,15 mins,1 hr 45 mins,2.0,Medium,"1 Kg mutton, 2 tbsp refined oil, 3-4  Green cardamom, 1 tsp whole cinnamon, 2  Black cardamoms, 2-3  Bay leaves, 1 tsp turmeric powder, 1/4 cup water, 1 tsp ginger-garlic paste, 1 tsp coriander powder, 1 tsp red chilli powder, 1 tsp garlic (ground), fried, 1 tsp onion (ground), fried, 3 tbsp yogurt (beaten), 2 tsp gulab jal, 2 tsp garam masala, 1/2 tsp nutmeg-coriander powder, 1/2 tsp saffron, soaked, to taste salt, Few drops of  ittar, Wheat dough (for dum), for garnishing fresh coriander, for garnishing ginger, julienne",https://c.ndtvimg.com/2019-05/854kg7ug_mutton_625x300_07_May_19.jpg
Al Hachi Chicken Recipe,1 hr 10 mins,20 mins,50 mins,2.0,Medium,"150 gms shallow fried chicken, 75 gms bottle gourd (boiled and sun dried), 1 cup onion, small, 1 tsp garlic, chopped, Whole spices:, 4-5 pcs green cardamom, 2-3 pcs black cardamom, 3-4  cinnamon sticks, 1 tsp turmeric, 1 tsp deggi mirch, 1 tsp fennel seeds powder, 1 tsp dry ginger powder, 1 tsp coriander powder, As per taste  salt, 50 ml mustard oil, 1 tbsp desi ghee",https://c.ndtvimg.com/2019-02/aajqtl_chicken-_625x300_19_February_19.jpg
Char Minar Biryani Recipe,2 hrs 10 mins,20 mins,1 hr 50 mins,2.0,Difficult,"For rice:, 2 cup long grain rice, 2-3  bay leaf, 2-3  cardamoms pods (bruised), 2-3  cloves, 1 tsp ghee, 1/2 cup mint leaves, 1  star anise, 1-2 pcs cinnamon, small, pieces Water as required, Salt as per taste, 600 gms mutton, 2  Onion, 2  Tomato, 250 gms ghee, 2  Cloves, 2  Cardamom, 2  Cinnamon sticks, Salt as per taste, 4-5  Cloves, 1-2 pcs cinnamon stick, small, 3-4  Cardamoms, 1 tsp shahi jeera, 12-14  Peppercorns (roast and grind to powder), For meat marinade:, Salt as per taste, 2 tbsp red chilli powder, 2 tbsp coriander powder, 1/2 tsp turmeric powder, 1/2 tsp garam masala, 1 cup curd, 1 tsp ginger paste, 1 tsp garlic paste, 2  green chilli (slit and deseeded), 1/4 cup milk, 5-6  Saffron strands (add to the milk), 1/2 cup mint, 2 tbsp lemon juice, Salt as per taste, For layering:, Browned onions, Fried garlic, 1 cup saffron (soaked in milk), Coriander (chopped), 1/2 cup ghee, for garnishing fresh tomatoes, sliced, for garnishing onions and garlic (caramelized)",https://c.ndtvimg.com/2021-02/1bam97po_biryani_625x300_17_February_21.jpg
Peshawari Chapli Kebab Recipe,25 mins,15 mins,10 mins,2.0,Medium,"1 Kg mutton (with fat), 80 gms onions, finely chopped, 80 gms tomatoes (peeled and deseeded), finely chopped, Tomato slices, Black pepper, 10 gms coriander seeds, to taste salt, for grilling/shallow frying  cooking oil",https://c.ndtvimg.com/2021-01/vsafkf5_chapli-kebab_625x300_08_January_21.jpg
Madata Khaja Recipe,45 mins,10 mins,35 mins,2.0,Easy,"300 gms maida, 15 gms baking powder, 45 ml ghee, 45 ml milk, as required   salt, as required   water, for deep frying  oil, 500 ml sugar syrup",https://c.ndtvimg.com/2018-11/umjekoug_madata-khaja_625x300_05_November_18.jpg
Nazaqati Boti Kebab Recipe,1 hr,15 mins,45 mins,4.0,Medium,"1 Kg mutton cubes (extra clean, from male goat thigh), 50 gms ginger paste, 100 gms raw papaya paste, 100 gms white onion paste, 150 gms brown onion, finely chopped, 150 gms desi ghee, 5 gms yellow chilli powder, 5 gms coriander powder, to taste salt, 5 gms garam masala, 5 gms potli masala, 20 gms chana dal flavour, roasted, 100 gms curd, 5 gms rose petal paste, 1 gms saffron, 300 gms poppy seeds paste, 10 gms cashew paste, 10 gms almond paste, 10 gms chiroli paste, 5 gms dessicated coconut poqder, 2 ml kewra, 4 pcs clove, 6 pcs green cardamom",https://c.ndtvimg.com/2020-07/liflj1io_kebab_625x300_31_July_20.jpg
Kalmi Kebab Recipe,35 mins,15 mins,20 mins,2.0,Medium,"500 Gram Chicken thigh leg, 1/4 cup Yogurt, 1 tsp Ginger-garlic paste, 1/2 tbsp Lemon juice, 1/4 tsp Turmeric powder, 1/2 tsp Caraway seeds, 4 tsp Cashew nut powder, 1/2 tsp Green cardamom powder, 1/4 tsp Black pepper (crushed), 1/4 cup Fresh cream, Refined oil",https://c.ndtvimg.com/2021-06/kvfe6hsg_seekh-kebab_625x300_11_June_21.jpg
Makhane Aur Kaju Ki Kheer Recipe,1 hr,15 mins,45 mins,2.0,Medium,"1 Cup Lotus Seeds (puffed) and cashew nut (toasted), 1/2 litre Milk, 2 tbsp Pure ghee, 3 tbsp Khoya/Mawa, 1/4 tsp Green cardamom powder, 1 tbsp Almonds, chopped, 1 tbsp Pistachios, chopped",https://c.ndtvimg.com/2018-10/6b1kl5go_kheer_625x300_15_October_18.jpg
Murg Bemisal Recipe,45 mins,15 mins,30 mins,2.0,Medium,"160 Gram Chicken breast, 15 gram Cheese, 2 gram Green chilli, 2 gram Ginger, to taste Salt, 2 gram Whole jeera, 5 gram Garlic, 100 gram Onion, 60 gram Tomato paste, 15 gram Desi ghee, 15 gram Cashew paste, 2 gram Turmeric powder, 2 gram Red chilli powder, 2 gram Yellow chilli powder, 2 gram Jeera powder, 1 gram Kasoori methi, 2 gram Garam masala, 10 ml Cooking oil",https://c.ndtvimg.com/2018-09/29nhpus8_chicken-curry_625x300_18_September_18.jpg
Gehun Ki Kheer Recipe,35 mins,10 mins,25 mins,2.0,Easy,"150  Broken wheat, 50  Ghee, 50  Raisin, 2  Cardamom powder, 50 ml Jaggery, 100 gram Cashew nut, 500 ml Milk",https://c.ndtvimg.com/2018-09/v4rd0gg8_kheer_625x300_10_September_18.jpg
Keema Kaleji Recipe,40 mins,10 mins,30 mins,2.0,Medium,"250 Gram Minced mutton (lamb), 250 Gram Lamb liver (cut into small pieces), 4 Medium Onion, chopped, 10 cloves  Garlic, 1  Ginger, 1 Tbsp Cumin seeds, 2 Tbsp Coriander powder, 1 Tbsp Black pepper, 4 Small Cardamom, 3-4  Cloves, 1/2  Cinnamon, 1/2 tsp Shahi jeera, To taste Red chilli powder, To taste Salt, 2  Tomatoes, finely chopped, 1 Tbsp Curd, 2  Bay leaf, To garnish  Coriander leaves, chopped, 2 tsp Desi ghee, 2 1/2 Tbsp Cooking oil",https://c.ndtvimg.com/7fs9vak8_keema-kaleji_625x300_06_September_18.jpg
Mongolian Lamb Balls Recipe,25 mins,10 mins,15 mins,1.0,Medium,"100 Gram Lamb (minced), 20 gram Couscous, 20 gram Scallion, 20 gram Garlic, 1  Egg, 20  Parsley, chopped, For flavour  Olive oil, To garnish  Mint, 20  Ao nori herb, to taste Salt, 5  Five spice, 5  Cinnamon powder",https://c.ndtvimg.com/gtjqn63_meatballs-recipe_625x300_05_September_18.jpg
Baked Almond Kofta Recipe,30 mins,10 mins,20 mins,4.0,Medium,"For koftas:, 2 cups potato (boiled), mashed, A pinch of nutmeg, 2 tbsp milk, 3/4 cup almonds (crushed), 1/2 cup green onions, chopped, 1 tbsp refined flour, 1  Egg, 3/4 tsp salt, 1/2 tsp pepper, For crumbing:, 2 nos eggs, Refined flour (for rolling), Dried breadcrumbs (for rolling)",https://c.ndtvimg.com/rs2iidm_kofta_625x300_22_August_18.jpg
Badam Ki Phirni Recipe,25 mins,10 mins,15 mins,4.0,Easy,"1 Cup almonds, peeled, 500 ml milk, 100 gram sugar, 2 tbsp rice, 1/2 tsp cardamom powder, 1 tbsp gulabjal",https://c.ndtvimg.com/2021-02/n83hk5gg_phirni_625x300_12_February_21.jpg
Haleem Khowsuey Recipe,1 hr 25 mins,1 hr 25 mins,2,,,"For mutton:, 750 gram Boneless meat (cleaned and washed), 8  Green chillies, 1 tsp Ginger garlic paste, 1/2 tsp Turmeric powder, 3-4  Cinnamon stick, 4  Cloves, 2-3  Green cardamom, 1 tsp Caraway seeds (shahi zeera), 1 tbsp Black peppercorns, to taste Salt, 1 cup Water, For cooking dals:, 1/2 cup Dalia (broken wheat), 1 tsp Mash ki dal/Urad dal, 1 tsp Toovar dal, 1 tsp Chana dal, 1 tsp Yellow moong dal, 1 tsp Rice, to taste Salt, 3 glasses  Water, Other ingredients:, 3 tbsp Oil, 4 medium Onions, sliced, 1 tsp Ginger garlic paste, 1/2  Coriander leaves, chopped, 1/2  Mint leaves, chopped, 2  Green chillies (slit), 1/2  Black pepper corn powder, 1/4  Turmeric powder, 1 1/2  Yogurt (beaten), 5-6 tbsp Pure ghee, For garnishing:, Coriander leaves, chopped, Mint leaves, chopped, Onions, fried, 5-6  Lemons (cut into 4 halves)",https://c.ndtvimg.com/ablmdjdo_haleem-khowsuey_625x300_20_August_18.jpg
Lauki Gosht Recipe,50 mins,10 mins,40 mins,2.0,Medium,"500 Gram Mutton, 500 gram Lauki, 1 1/2 tsp Red chilli powder, 1/4 tsp Turmeric powder, 2 tsp Coriander powder, 1 tsp Garlic paste, 1 tsp Ginger paste, 3 tbsp Fresh coriander leaves, 2-3  Green chillies, 2  Tomatoes, 2  Onion, 1  Cinnamon stick, to taste Salt, 4-5 tbsp Oil, For frying  OIl",https://c.ndtvimg.com/lauki-gosht_625x300_1528974900919.jpg
Arbi Gosht Recipe,50 mins,10 mins,40 mins,2.0,Medium,"500 gms mutton, 8-10  Arbi, 1 1/2 tsp red chilli powder, 1/4 tsp turmeric powder, 2 tsp coriander powder, 1 tsp garlic paste, 1 tsp ginger paste, 3 tbsp fresh coriander leaves, 2-3  Green chilli, 2  Tomatoes, 2  Onion, 1  Cinnamon stick, 1  Black cardamom, to taste salt, 4-5 tbsp oil, Oil (for frying)",https://c.ndtvimg.com/2020-05/hmk1s0t_gosht_625x300_07_May_20.jpg
Orange Quinoa Sevaiyan Recipe,1 hr 15 mins,10 mins,1 hr 05 mins,2.0,Medium,"100 gms sevaiyan, 50 gms quinoa, 300 ml orange juice, 30 gms dried figs, 20 gms sugar, 250 ml almond milk, 1 tbsp desi ghee, 100 gms jaggery, 20 gms walnuts, 30 gms melon seeds, 10 gms peanuts",https://c.ndtvimg.com/seviyan_625x300_1527573966193.jpg
Sevaiya Ki Burfi Recipe,35 mins,15 mins,20 mins,2.0,Easy,"200 gms sevaiya, 100 gms desi ghee, 40 gms almonds, 30 gms pistachios, 25 gms raisins, 250 ml milk, 120 gms khoya, 100 gms sugar",https://c.ndtvimg.com/barfi_625x300_1527572712247.jpg
Chawal Ki Kheer Recipe,40 mins,15 mins,25 mins,4.0,Easy,"1/4 Cup basmati rice, 6 cups milk, 3/4 cup condensed milk, 1/4 cup sugar, 1/2 tsp green cardamom powder, 10 gms almonds (slivered), For garnishing:, 20 gms slivered Almonds, 30 gms pistachio nuts (whole)",https://c.ndtvimg.com/2020-10/gaohk1gg_kheer_625x300_23_October_20.jpg
